2023-05-19 12:05:799 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (2a00e602ada1d12e5b9b2b00dd3c4423)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 12:05:580 INFO  Homepage :39 - Click on search cars : [[ChromeDriver: chrome on WINDOWS (2a00e602ada1d12e5b9b2b00dd3c4423)] -> xpath: //a[contains(text(),'Search Cars')]]
2023-05-19 12:05:987 INFO  NewAndUsedCarPage :70 - Verify text: [[ChromeDriver: chrome on WINDOWS (2a00e602ada1d12e5b9b2b00dd3c4423)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2023-05-19 12:05:17 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (2a00e602ada1d12e5b9b2b00dd3c4423)] -> xpath: //select[@id='makes']]
2023-05-19 12:05:128 INFO  NewAndUsedCarPage :50 - Select model : [[ChromeDriver: chrome on WINDOWS (2a00e602ada1d12e5b9b2b00dd3c4423)] -> xpath: //select[@id='models']]
2023-05-19 12:05:431 INFO  NewAndUsedCarPage :55 - Select location: [[ChromeDriver: chrome on WINDOWS (2a00e602ada1d12e5b9b2b00dd3c4423)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:525 INFO  NewAndUsedCarPage :60 - Select location: [[ChromeDriver: chrome on WINDOWS (2a00e602ada1d12e5b9b2b00dd3c4423)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:661 INFO  NewAndUsedCarPage :65 - Find My Next Car: [[ChromeDriver: chrome on WINDOWS (2a00e602ada1d12e5b9b2b00dd3c4423)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:364 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (6fd342cfe5b51a8dd3c545ed1091ee32)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 12:05:518 INFO  Homepage :44 - Click on Used cars : [[ChromeDriver: chrome on WINDOWS (6fd342cfe5b51a8dd3c545ed1091ee32)] -> xpath: //a[normalize-space()='Used']]
2023-05-19 12:05:545 INFO  UsedCarPage :23 - Verify text: [[ChromeDriver: chrome on WINDOWS (6fd342cfe5b51a8dd3c545ed1091ee32)] -> xpath: //h1[normalize-space()='Used Cars For Sale']]
2023-05-19 12:05:806 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (6fd342cfe5b51a8dd3c545ed1091ee32)] -> xpath: //select[@id='makes']]
2023-05-19 12:05:983 INFO  NewAndUsedCarPage :50 - Select model : [[ChromeDriver: chrome on WINDOWS (6fd342cfe5b51a8dd3c545ed1091ee32)] -> xpath: //select[@id='models']]
2023-05-19 12:05:99 INFO  NewAndUsedCarPage :55 - Select location: [[ChromeDriver: chrome on WINDOWS (6fd342cfe5b51a8dd3c545ed1091ee32)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:220 INFO  NewAndUsedCarPage :60 - Select location: [[ChromeDriver: chrome on WINDOWS (6fd342cfe5b51a8dd3c545ed1091ee32)] -> xpath: //select[@id='locations']]
2023-05-19 12:05:701 INFO  Homepage :34 - Buy sell tab : [[ChromeDriver: chrome on WINDOWS (b5f095755e6063f76173344048d3cfed)] -> xpath: //a[contains(text(),'buy + sell')]]
2023-05-19 12:05:813 INFO  Homepage :44 - Click on Used cars : [[ChromeDriver: chrome on WINDOWS (b5f095755e6063f76173344048d3cfed)] -> xpath: //a[normalize-space()='Used']]
2023-05-19 12:05:543 INFO  UsedCarPage :23 - Verify text: [[ChromeDriver: chrome on WINDOWS (b5f095755e6063f76173344048d3cfed)] -> xpath: //h1[normalize-space()='Used Cars For Sale']]
2023-05-19 12:05:584 INFO  NewAndUsedCarPage :45 - Select make : [[ChromeDriver: chrome on WINDOWS (b5f095755e6063f76173344048d3cfed)] -> xpath: //select[@id='makes']]
